path,truth,belief_top,belief_conf,last_turn,wall_ever,crustle_seen
episode-81656003-replay.json,abomasnow,alakazam,0.36748053796152497,0,False,False
episode-81657015-replay.json,dragapult,dragapult,0.9999999999994904,17,False,False
episode-81657477-replay.json,kyogre,abomasnow,0.9987689244885479,10,False,False
episode-81658124-replay.json,starmie,starmie,0.70886876292769,15,False,False
episode-81658730-replay.json,lucario,lucario,0.9999999999971618,13,False,False
episode-81659219-replay.json,other/unknown,dragapult,0.880183002611674,13,True,False
episode-81659858-replay.json,bellibolt,alakazam,0.36748053796152497,0,False,False
episode-81660217-replay.json,alakazam,alakazam,0.999999867080959,5,False,False
episode-81660334-replay.json,other/unknown,dragapult,0.8523533571303213,21,True,False
episode-81661249-replay.json,lucario,lucario,0.9999999972664546,20,False,False
episode-81661721-replay.json,other/unknown,dragapult,0.9934680548130546,18,False,False
episode-81661852-replay.json,other/unknown,dragapult,0.7035985190594259,19,False,False
episode-81662174-replay.json,starmie,lucario,0.586061490876276,0,False,False
episode-81662800-replay.json,lucario,alakazam,0.36748053796152497,0,False,False
episode-81663436-replay.json,dragapult,dragapult,0.9999999999958902,13,False,False
episode-81663907-replay.json,dragapult,dragapult,0.9999998523433333,11,False,False
episode-81664558-replay.json,other/unknown,starmie,0.7134604142130343,16,True,False
episode-81665517-replay.json,dragapult,dragapult,0.9999980079590133,13,False,False
episode-81665970-replay.json,abomasnow,abomasnow,0.9964766570614914,15,False,False
episode-81667570-replay.json,abomasnow,alakazam,0.36748053796152497,0,False,False
episode-81669359-replay.json,alakazam,alakazam,1.0,11,False,False
episode-81669808-replay.json,alakazam,alakazam,1.0,7,False,False
episode-81669905-replay.json,other/unknown,alakazam,0.9977260151790587,14,False,False
episode-81669912-replay.json,other/unknown,dragapult,0.8595615364383741,7,True,False
episode-81669917-replay.json,other/unknown,dragapult,0.9999943318349613,20,False,False
episode-81670361-replay.json,lucario,lucario,0.9999999997081797,13,False,False
episode-81670369-replay.json,other/unknown,dragapult,0.7733058960097227,18,True,False
episode-81670823-replay.json,crustle,dragapult,0.6651966353582867,11,False,True
episode-81670832-replay.json,alakazam,alakazam,0.36748053796152497,0,False,False
episode-81671284-replay.json,starmie,alakazam,0.36748053796152497,0,False,False
episode-81671296-replay.json,starmie,starmie,0.9999851948964172,22,False,False
episode-81671910-replay.json,lucario,lucario,0.9999999999786271,13,False,False
episode-81671914-replay.json,lucario,alakazam,0.36748053796152497,0,False,False
episode-81672385-replay.json,lucario,lucario,0.9999999999907816,22,False,False
episode-81672841-replay.json,dragapult,dragapult,0.9999999991633179,9,False,False
episode-81672853-replay.json,starmie,starmie,0.9969197919516307,10,False,False
episode-81673302-replay.json,abomasnow,abomasnow,0.9999924868103267,7,False,False
episode-81673309-replay.json,other/unknown,dragapult,0.9641671157775284,7,False,False
episode-81673758-replay.json,starmie,dragapult,0.999735294212613,12,False,False
episode-81673760-replay.json,abomasnow,abomasnow,0.9999999929784398,9,False,False
episode-81673824-replay.json,alakazam,alakazam,1.0,15,False,False
episode-81674242-replay.json,crustle,abomasnow,0.949785969917472,13,False,True
episode-81674835-replay.json,lucario,lucario,0.9999999999792499,11,False,False
episode-81674853-replay.json,other/unknown,dragapult,0.9389224769510549,6,False,False
episode-81675297-replay.json,lucario,lucario,0.9999999922388801,16,False,False
episode-81675313-replay.json,other/unknown,dragapult,0.9997009411010722,13,False,False
episode-81675764-replay.json,crustle,dragapult,0.6632781291120481,12,False,True
episode-81676361-replay.json,abomasnow,abomasnow,0.9999982478663498,8,False,False
episode-81676383-replay.json,lucario,lucario,0.9618306680470622,3,False,False
episode-81676982-replay.json,lucario,alakazam,0.36748053796152497,0,False,False
episode-81679311-replay.json,alakazam,alakazam,0.9999999999999631,9,False,False
episode-81681211-replay.json,starmie,starmie,0.9845528557514364,11,False,False
